#format table ## [Custom WaveView] saved 15:00:04 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 4.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 4.630E-03 , 5.449E-08 , 5.449E-08 , 5.449E-08 , 5.449E-08 , 5.449E-08 , 1.348E+00 
 4.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.909E-06 
 4.730E-03 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 1.348E+00 
 4.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 4.830E-03 , 5.409E-08 , 5.409E-08 , 5.409E-08 , 5.409E-08 , 5.409E-08 , 1.348E+00 
 4.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.908E-06 
 4.930E-03 , 5.438E-08 , 5.438E-08 , 5.438E-08 , 5.438E-08 , 1.348E+00 , 5.437E-08 
 4.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 5.030E-03 , 5.443E-08 , 5.443E-08 , 5.443E-08 , 5.443E-08 , 5.443E-08 , 1.348E+00 
 5.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 5.130E-03 , 5.449E-08 , 5.449E-08 , 5.449E-08 , 5.449E-08 , 5.448E-08 , 1.348E+00 
 5.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.907E-06 
 5.230E-03 , 5.427E-08 , 5.427E-08 , 5.427E-08 , 5.427E-08 , 5.427E-08 , 1.348E+00 
 5.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 5.330E-03 , 5.408E-08 , 5.408E-08 , 5.408E-08 , 5.408E-08 , 5.408E-08 , 1.348E+00 
 5.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.906E-06 
 5.430E-03 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 5.437E-08 , 1.348E+00 , 5.436E-08 
 5.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 5.530E-03 , 5.442E-08 , 5.442E-08 , 5.442E-08 , 5.442E-08 , 5.442E-08 , 1.348E+00 
 5.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 5.630E-03 , 5.448E-08 , 5.448E-08 , 5.448E-08 , 5.448E-08 , 5.448E-08 , 1.348E+00 
 5.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.904E-06 
 5.730E-03 , 5.427E-08 , 5.427E-08 , 5.427E-08 , 5.427E-08 , 5.427E-08 , 1.348E+00 
 5.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 5.830E-03 , 5.407E-08 , 5.407E-08 , 5.407E-08 , 5.407E-08 , 5.407E-08 , 1.348E+00 
 5.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.905E-06 
 5.930E-03 , 5.436E-08 , 5.436E-08 , 5.436E-08 , 5.436E-08 , 1.348E+00 , 5.435E-08 
 5.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 6.030E-03 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 1.348E+00 
 6.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 6.130E-03 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 5.430E-08 , 1.348E+00 , 5.442E-08 
 6.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.903E-06 
 6.230E-03 , 5.426E-08 , 5.426E-08 , 5.426E-08 , 5.426E-08 , 5.426E-08 , 1.348E+00 
 6.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 6.330E-03 , 5.436E-08 , 5.436E-08 , 5.436E-08 , 5.436E-08 , 1.348E+00 , 5.419E-08 
 6.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.902E-06 
 6.430E-03 , 5.435E-08 , 5.435E-08 , 5.435E-08 , 5.435E-08 , 1.348E+00 , 5.434E-08 
 6.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 6.530E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 
 6.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 6.630E-03 , 5.429E-08 , 5.429E-08 , 5.429E-08 , 5.429E-08 , 1.348E+00 , 5.441E-08 
 6.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.901E-06 
